id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
5021,66687,66684,cash,48500000,2011-01-19
5022,66686,66688,,0,2011-01-01
5023,66724,37824,cash_and_stock,12000000,2011-01-19
5024,56131,66740,,0,2011-01-19
5025,5394,26579,,0,2011-01-19
5026,15299,9470,,0,2011-01-20
5027,317,4460,cash_and_stock,2500000,2012-06-15
5029,63246,66801,,40000000,2011-01-21
5030,39537,66220,,0,2005-07-01
5031,79,13943,,0,2006-05-22
5032,1812,66929,,0,2011-01-23
5033,66934,66932,,0,2011-01-21
5034,45529,53224,,0,2011-01-23
5035,45529,766,,0,2011-01-01
5036,29578,67030,,0,2011-01-24
5037,36393,3534,,0,2010-01-01
5038,36393,67002,cash_and_stock,0,2010-01-01
5039,67035,67034,,0,2011-01-24
5040,1504,31885,,0,2007-12-21
5041,67049,67047,,0,2011-01-24
5042,67052,67051,,0,2011-01-24
5043,5,67090,,0,2011-01-25
5044,48061,67101,,0,2011-01-05
5045,23339,20050,cash,1000000000,2011-01-25
5046,59,53263,,10000000,2011-01-25
5047,4765,38105,,0,2011-01-25
5048,1485,13428,,0,2011-01-25
5049,59,705,,0,2010-01-25
5050,67134,67132,,0,2011-01-25
5051,590,21061,cash_and_stock,0,2006-12-01
5052,25013,67247,,0,2011-01-26
5053,15400,67254,,0,2011-01-26
5054,176,59878,,0,2011-01-26
5055,26477,25755,,0,2011-01-26
5056,26339,53780,cash,258100,2006-08-26
5057,31441,67221,cash,31200000,2011-01-27
5058,53254,65620,,10000000,2011-01-27
5059,67325,67326,,0,2011-01-26
5061,5622,67335,,0,2011-01-27
5062,43480,9493,,0,2009-06-23
5063,36312,67338,,0,2011-01-27
5064,46083,44287,,0,2011-01-28
5065,41766,67414,,0,2011-01-28
5066,39966,6569,,0,2011-01-27
5067,1809,9816,,0,2011-01-28
5069,67430,67429,,0,2011-01-20
5070,1915,55975,,0,2000-01-05
5071,13882,65706,,0,2010-07-01
5072,43614,20638,,0,2011-01-31
5073,475,130,,0,2011-01-31
5074,475,1516,,0,2011-01-31
5075,475,38,,0,2011-01-31
5076,62508,67569,,0,2005-09-20
5077,67598,25324,cash,111000000,2011-01-31
5078,37515,43128,cash_and_stock,100000000,2011-01-31
5079,29414,27205,,0,2011-01-31
5080,12388,38876,,0,2011-01-31
5081,5687,67621,,0,2011-01-31
5082,5097,67635,cash,11000000,2011-02-01
5084,857,45319,,0,2011-02-01
5085,34730,67714,,0,2011-02-01
5086,67716,4241,,0,2011-02-01
5087,23489,67721,,0,2011-02-01
5088,67724,67723,,0,2011-02-01
5089,67731,67730,,0,2011-02-01
5090,1972,39546,,0,2011-02-01
5092,67758,67755,,0,2011-02-01
5093,18280,67756,,0,2010-02-02
5094,1611,7193,cash,50000000,2011-02-02
5095,42214,67800,,0,2011-02-01
5096,56131,66254,,0,2011-02-02
5097,14008,41621,,0,2011-02-02
5098,67902,32890,,0,2010-12-01
5099,50731,50732,,0,2011-02-03
5100,1705,41092,,0,2011-02-03
5101,29414,25772,cash,10000000,2011-02-03
5102,67922,1462,,0,2011-02-04
5103,67926,67925,,0,2011-02-03
5104,67924,24129,,0,2011-02-03
5105,41914,36207,,0,2011-02-03
5106,67933,67932,,0,2011-02-03
5110,28,27620,,0,2011-02-04
5111,67952,67951,,0,2011-02-03
5112,67952,67951,,0,2011-02-03
5113,67956,67955,,0,2011-02-03
5114,67956,67955,,0,2011-02-03
5115,67956,67955,,0,2011-02-03
5116,67956,67955,,0,2011-02-03
5118,1316,67990,,0,2011-02-04
5119,25799,37027,,0,2011-02-07
5120,351,1388,,315000000,2011-02-07
5121,1354,57088,,0,2006-05-01
5122,3526,65468,cash_and_stock,0,2006-02-03
5123,32537,68187,,0,2011-02-07
5124,27566,38465,,0,2011-02-07
5125,173,68217,,0,2011-02-08
5126,40593,67903,cash,0,2003-07-30
5128,35508,68258,,0,2011-02-07
5129,6383,68297,,0,2011-02-08
5131,68298,34667,,0,2009-12-01
5132,17066,971,cash,190000000,2011-02-09
5133,28712,68409,,0,2011-02-09
5134,3161,55714,,0,2011-02-09
5135,33565,68431,,0,2011-02-10
5136,48483,51466,cash,61000000,2011-02-09
5137,67588,61697,,0,2011-02-10
5138,48349,4106,,0,2011-02-10
5139,18367,61281,,0,2011-02-10
5140,50592,68502,,0,2011-02-10
5142,68578,68576,,0,2011-02-10
5143,68589,67879,stock,0,2010-08-30
5144,25732,68640,,0,2011-02-11
5147,64703,59456,,0,2011-02-14
5148,5229,22537,,0,2011-02-14
5149,1571,20487,,0,2011-01-01
5150,65860,68720,,0,2011-02-14
5151,355,11279,,0,2011-02-14
5152,65077,31976,cash,0,2011-02-14
5153,25770,68760,cash,60000000,2011-02-15
5154,68761,2926,,0,2011-02-14
5155,548,47671,,10000000,2011-03-15
5157,56184,68819,,0,2011-02-15
5158,17745,38121,,0,2010-12-01
5159,3524,21121,cash,15000000,2011-02-16
5160,35900,5641,,0,2011-02-16
5161,28373,67112,cash,20000000000,2011-02-16
5162,47155,68937,,0,2011-02-16
5163,12306,10480,,0,2011-02-17
5164,548,47671,,10000000,2011-02-15
5165,17757,12363,,0,2010-04-29
5166,29929,23052,stock,270000000,2011-02-17
5167,5182,68993,cash,39000000,2011-02-17
5168,68994,22187,,0,2011-02-17
5169,20211,68999,,0,2011-02-17
5170,20971,69025,,0,2011-02-18
5171,69063,26563,,0,2010-01-01
5172,69199,69198,,0,2003-10-27
5173,69301,69300,cash,50000000,2007-04-01
5174,69318,69316,,0,2008-12-31
5175,69338,44622,,0,2010-03-01
5176,27812,5607,,0,2011-02-22
5177,29610,25217,,0,2011-02-22
5178,50410,26729,cash_and_stock,375000000,2011-02-22
5179,39082,69474,,0,2011-02-22
5180,15016,69479,,0,2011-02-22
5181,40866,69489,,30000000,2011-02-22
5182,6760,44161,,0,2011-02-23
5183,35777,69493,,0,2011-02-22
5184,69190,69524,,0,2007-06-26
5185,69527,69520,,0,2010-11-16
5186,69538,69537,,0,2011-01-01
5187,10166,69556,,0,2005-01-07
5188,4042,48191,,0,2011-02-23
5189,22309,69612,,0,2011-02-23
5191,4687,45233,cash,25000000,2011-02-24
5192,1400,54737,,0,2011-02-24
5193,26123,33083,,0,2011-02-24
5194,5,69766,,0,2011-01-01
5195,3320,62012,cash,135000000,2002-08-01
5196,69808,69806,,0,2011-02-25
5197,15457,45214,,0,2011-02-01
5198,69811,69810,,0,2011-02-25
5199,69815,69814,,0,2011-02-25
5200,9054,69839,,1000000000,2005-03-18
5201,69827,69887,,0,2000-11-07
5202,59141,69974,,0,2011-02-24
5203,53426,42453,,0,2011-02-25
5204,46553,6720,,0,2010-09-01
5205,70064,30152,,75000000,2011-02-28
5207,5,60853,,0,2011-03-01
5208,14111,28377,,0,2011-03-01
5209,59,54561,,0,2011-03-01
5210,70155,70154,cash_and_stock,935000000,2011-02-28
5211,70171,70173,,0,2011-02-28
5212,28357,70182,,0,2011-03-01
5213,29567,55374,,0,2011-02-28
5214,70194,70192,,0,2011-03-01
5215,43183,70237,,0,2011-03-02
5216,17005,70257,,0,2011-03-02
5218,25106,5585,,263000000,2011-03-03
5219,70297,70293,,0,2011-03-03
5221,28846,70313,,0,2011-03-03
5222,760,5696,,0,2011-03-03
5223,342,46269,,0,2011-03-03
5224,70354,70355,cash,37000000,2011-03-03
5225,70298,70358,,0,2011-03-03
5226,29586,70359,,0,2011-03-03
5227,70360,26081,,163300000,2011-03-03
5228,12906,60312,,0,2011-03-03
5229,12906,70363,,0,2011-03-03
5230,26373,70397,,0,2011-02-22
5231,60177,70399,,0,2011-02-22
