id,object_id,degree_type,subject
3979,p:6293,BA,History
3980,p:6293,JD,Law
3981,p:39552,BS,Business & Economics
3982,p:30692,BS,Psychology
3983,p:30692,MS,Business Management
3984,p:38764,MBA,
3985,p:39586,BA,Computer Science / Information Systems
3986,p:39645,MS,
3987,p:39650,MS,Business Administration
3988,p:37040,MBA,
3989,p:16686,BS,Computer Engineering
3990,p:16686,MBA,"Analytic Finance, Entrepreneurship"
3991,p:37117,BCOM,Business Management
3992,p:38559,BBA,"Finance, International Business"
3993,p:39566,BS,
3994,p:39705,MS,Marketing
3995,p:39705,BS,Social Science & Media
3996,p:39709,BS,Psychology
3997,p:39712,MA,Communications
3998,p:39728,BS,History & Political Science
3999,p:39728,MBA,Corporate Strategy & Marketing
4000,p:39728,MS,Natural Resource Mangement
4001,p:33174,BA,Public Relations
4002,p:33174,MA,Communications
4003,p:39744,MBA,BUSINESS
4004,p:8579,MS,Political Science
4005,p:39725,"Bachelors, Hons.",Computer Science
4006,p:39811,BS,"Business Marketing, Speech Communication"
4007,p:39812,BS,Business Administration
4008,p:39589,MS,MBA (Beta Gamma Sigma)
4009,p:39589,BA,Industrial Engineering
4010,p:39589,MS,Technology Management
4011,p:39838,BE,
4012,p:39840,,Administration
4013,p:261,BA,Cognitive Science
4014,p:39788,MS,Computer Application
4015,p:39788,BS,Computer Application
4016,p:39855,MBA,
4017,p:39831,MA,Journalism
4018,p:39831,BA,English / Business & Economics
4019,p:39862,MIFireE.,Fire Eng.
4020,p:39862,MBA,
4021,p:39862,Emergency Medicine,
4022,p:39864,MBA With Honors,
4023,p:39865,BS,
4024,p:39874,BS,Industrial Enginering
4025,p:39874,M.E.I.E,Industrial Enginering
4026,p:39888,MS,Accounting and Finance
4027,p:39892,BA,
4028,p:39906,BS,Electrical Engineering and Computer Science
4029,p:39907,MBA,
4030,p:39955,JD,
4031,p:39955,BA,Economics and Philosophy
4032,p:39874,BS,Military Arts & Sciences
4033,p:39965,BA,English
4034,p:39965,JD,Law
4035,p:29064,MBA,Entrepreneurship
4036,p:29064,BS,Applied Physics
4037,p:39978,Redakteur,Journalism
4038,p:39978,Diplom-Journalist,Journalism
4039,p:39980,MS,Psychology
4040,p:18145,PG,Marketing Management
4041,p:39959,MA,Multidisciplinary Design
4042,p:40018,BA,English
4043,p:5296,BS,Broadcast & Print
4044,p:40058,BS,"Journalism, Advertising"
4045,p:14729,BA,International Communications
4046,p:24506,MBA,
4047,p:40116,BS,Management
4048,p:40158,,
4049,p:39350,Engineering,Masters
4050,p:40141,MS,Software Engineering
4051,p:20022,MBA,"Finance, Strategy"
4052,p:40240,BENG,Software Engineering
4053,p:28083,JD,Law
4054,p:28083,BA,Political Science
4055,p:16403,MS,Computer Science & Architecture
4056,p:40302,BS,Software Engineering Management
4057,p:40277,MS,eGovernance
4058,p:40277,Banchelor,Economics
4059,p:40276,Certificate,Executive Business Program
4060,p:40276,MS,"MBA, Technology Management,  (Joint degree) Software Process Management"
4061,p:40276,MS,Computer Science
4062,p:40341,Steven Wyer [Not Updated],Steven Wyer [Not Updated]
4063,p:40343,BS,Agricultural and Food Marketing
4064,p:40371,Postgraduate,MBA
4065,p:40375,BS,Applied Mathematics
4066,p:40375,MS,MBA in IT
4067,p:40371,Postgraduate,MIB
4068,p:107,BA,Accounting
4069,p:40444,BS,Mass Communications Electronic Media Corporate Media
4070,p:167,BA,Fine Art
4071,p:19539,MA Education,
4072,p:40545,BA,Political Science
4073,p:40545,BA,Communication
4074,p:40548,MS,CS (Context-aware computing)
4075,p:37941,BS Foreign Service,International Relations
4076,p:36748,Professional Postgraduate Diplom,Marketing
4077,p:40573,MS,Environment Science
4078,p:40580,Biology,
4079,p:40593,,MIS
4080,p:12301,MBA,
4081,p:40596,SB,Electrical Engineering and Computer Science
4082,p:40596,MENG,Electrical Engineering and Computer Science
4083,p:40618,BS,Computer Science
4084,p:17397,BS,Computer Science
